symbol,symbol_ns,company_name,sector,industry,series,isin,source
POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,Power,EQ,INE752E01010,nse_nifty500
PREMIERENE,PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,Capital Goods,EQ,INE0BS701011,nse_nifty500
PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,Realty,EQ,INE811K01011,nse_nifty500
PNB,PNB.NS,Punjab National Bank,Financial Services,Financial Services,EQ,INE160A01022,nse_nifty500
RRKABEL,RRKABEL.NS,R R Kabel Ltd.,Capital Goods,Capital Goods,EQ,INE777K01022,nse_nifty500
RBLBANK,RBLBANK.NS,RBL Bank Ltd.,Financial Services,Financial Services,EQ,INE976G01028,nse_nifty500
RECLTD,RECLTD.NS,REC Ltd.,Financial Services,Financial Services,EQ,INE020B01018,nse_nifty500
RHIM,RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods,Capital Goods,EQ,INE743M01012,nse_nifty500
RITES,RITES.NS,RITES Ltd.,Construction,Construction,EQ,INE320J01015,nse_nifty500
RADICO,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE944F01028,nse_nifty500
RVNL,RVNL.NS,Rail Vikas Nigam Ltd.,Construction,Construction,EQ,INE415G01027,nse_nifty500
RAILTEL,RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication,Telecommunication,EQ,INE0DD101019,nse_nifty500
RAINBOW,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,Healthcare,EQ,INE961O01016,nse_nifty500
RKFORGE,RKFORGE.NS,Ramkrishna Forgings Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE399G01023,nse_nifty500
REDINGTON,REDINGTON.NS,Redington Ltd.,Services,Services,EQ,INE891D01026,nse_nifty500
RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE002A01018,nse_nifty500
RPOWER,RPOWER.NS,Reliance Power Ltd.,Power,Power,EQ,INE614G01033,nse_nifty500
SBFC,SBFC.NS,SBFC Finance Ltd.,Financial Services,Financial Services,EQ,INE423Y01016,nse_nifty500
SBICARD,SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,Financial Services,EQ,INE018E01016,nse_nifty500
SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,Financial Services,EQ,INE123W01016,nse_nifty500
SJVN,SJVN.NS,SJVN Ltd.,Power,Power,EQ,INE002L01015,nse_nifty500
SRF,SRF.NS,SRF Ltd.,Chemicals,Chemicals,EQ,INE647A01010,nse_nifty500
SAGILITY,SAGILITY.NS,Sagility Ltd.,Information Technology,Information Technology,EQ,INE0W2G01015,nse_nifty500
SAILIFE,SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,Healthcare,EQ,INE570L01029,nse_nifty500
SAMMAANCAP,SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,Financial Services,EQ,INE148I01020,nse_nifty500
MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE775A01035,nse_nifty500
SAPPHIRE,SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services,Consumer Services,EQ,INE806T01020,nse_nifty500
SARDAEN,SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining,Metals & Mining,EQ,INE385C01021,nse_nifty500
SAREGAMA,SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication,Media Entertainment & Publication,EQ,INE979A01025,nse_nifty500
SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE513A01022,nse_nifty500
SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods,Capital Goods,BE,INE839M01018,nse_nifty500
SCI,SCI.NS,Shipping Corporation of India Ltd.,Services,Services,EQ,INE109A01011,nse_nifty500
SHREECEM,SHREECEM.NS,Shree Cement Ltd.,Construction Materials,Construction Materials,EQ,INE070A01015,nse_nifty500
SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,Financial Services,EQ,INE721A01047,nse_nifty500
SHYAMMETL,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,Capital Goods,EQ,INE810G01011,nse_nifty500
ENRIN,ENRIN.NS,Siemens Energy India Ltd.,Capital Goods,Capital Goods,EQ,INE1NPP01017,nse_nifty500
SIEMENS,SIEMENS.NS,Siemens Ltd.,Capital Goods,Capital Goods,EQ,INE003A01024,nse_nifty500
SIGNATURE,SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty,Realty,EQ,INE903U01023,nse_nifty500
SOBHA,SOBHA.NS,Sobha Ltd.,Realty,Realty,EQ,INE671H01015,nse_nifty500
SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,Chemicals,EQ,INE343H01029,nse_nifty500
SONACOMS,SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE073K01018,nse_nifty500
SONATSOFTW,SONATSOFTW.NS,Sonata Software Ltd.,Information Technology,Information Technology,EQ,INE269A01021,nse_nifty500
STARHEALTH,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,Financial Services,EQ,INE575P01011,nse_nifty500
SBIN,SBIN.NS,State Bank of India,Financial Services,Financial Services,EQ,INE062A01020,nse_nifty500
SAIL,SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,Metals & Mining,EQ,INE114A01011,nse_nifty500
SUMICHEM,SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals,Chemicals,EQ,INE258G01013,nse_nifty500
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,EQ,INE044A01036,nse_nifty500
SUNTV,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,Media Entertainment & Publication,EQ,INE424H01027,nse_nifty500
SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,Financial Services,EQ,INE660A01013,nse_nifty500
SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,Capital Goods,EQ,INE195A01028,nse_nifty500
SPLPETRO,SPLPETRO.NS,Supreme Petrochem Ltd.,Chemicals,Chemicals,EQ,INE663A01033,nse_nifty500
SUZLON,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,Capital Goods,EQ,INE040H01021,nse_nifty500
SWANCORP,SWANCORP.NS,Swan Corp Ltd.,Chemicals,Chemicals,EQ,INE665A01038,nse_nifty500
SWIGGY,SWIGGY.NS,Swiggy Ltd.,Consumer Services,Consumer Services,EQ,INE00H001014,nse_nifty500
SYNGENE,SYNGENE.NS,Syngene International Ltd.,Healthcare,Healthcare,EQ,INE398R01022,nse_nifty500
SYRMA,SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods,Capital Goods,EQ,INE0DYJ01015,nse_nifty500
TBOTEK,TBOTEK.NS,TBO Tek Ltd.,Consumer Services,Consumer Services,EQ,INE673O01025,nse_nifty500
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE494B01023,nse_nifty500
TATACAP,TATACAP.NS,Tata Capital Ltd.,Financial Services,Financial Services,EQ,INE976I01016,nse_nifty500
TATACHEM,TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,Chemicals,EQ,INE092A01019,nse_nifty500
TATACOMM,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,Telecommunication,EQ,INE151A01013,nse_nifty500
TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,Information Technology,EQ,INE467B01029,nse_nifty500
TATACONSUM,TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE192A01025,nse_nifty500
TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,Information Technology,EQ,INE670A01012,nse_nifty500
TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Financial Services,EQ,INE672A01026,nse_nifty500
TMCV,TMCV.NS,Tata Motors Ltd.,Capital Goods,Capital Goods,EQ,INE1TAE01010,nse_nifty500
TMPV,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE155A01022,nse_nifty500
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,Power,Power,EQ,INE245A01021,nse_nifty500
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,Metals & Mining,EQ,INE081A01020,nse_nifty500
TATATECH,TATATECH.NS,Tata Technologies Ltd.,Information Technology,Information Technology,EQ,INE142M01025,nse_nifty500
TTML,TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,Telecommunication,EQ,INE517B01013,nse_nifty500
TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,Information Technology,EQ,INE669C01036,nse_nifty500
TECHNOE,TECHNOE.NS,Techno Electric & Engineering Company Ltd.,Construction,Construction,EQ,INE285K01026,nse_nifty500
TEGA,TEGA.NS,Tega Industries Ltd.,Capital Goods,Capital Goods,EQ,INE011K01018,nse_nifty500
TEJASNET,TEJASNET.NS,Tejas Networks Ltd.,Telecommunication,Telecommunication,EQ,INE010J01012,nse_nifty500
TENNIND,TENNIND.NS,Tenneco Clean Air India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE19RI01016,nse_nifty500
NIACL,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,Financial Services,EQ,INE470Y01017,nse_nifty500
RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Ltd.,Construction Materials,Construction Materials,EQ,INE331A01037,nse_nifty500
THERMAX,THERMAX.NS,Thermax Ltd.,Capital Goods,Capital Goods,EQ,INE152A01029,nse_nifty500
TIMKEN,TIMKEN.NS,Timken India Ltd.,Capital Goods,Capital Goods,EQ,INE325A01013,nse_nifty500
TITAGARH,TITAGARH.NS,Titagarh Rail Systems Ltd.,Capital Goods,Capital Goods,EQ,INE615H01020,nse_nifty500
TITAN,TITAN.NS,Titan Company Ltd.,Consumer Durables,Consumer Durables,EQ,INE280A01028,nse_nifty500
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,EQ,INE685A01028,nse_nifty500
TORNTPOWER,TORNTPOWER.NS,Torrent Power Ltd.,Power,Power,EQ,INE813H01021,nse_nifty500
TARIL,TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods,Capital Goods,EQ,INE763I01026,nse_nifty500
TRAVELFOOD,TRAVELFOOD.NS,Travel Food Services Ltd.,Consumer Services,Consumer Services,EQ,INE103V01028,nse_nifty500
TRENT,TRENT.NS,Trent Ltd.,Consumer Services,Consumer Services,EQ,INE849A01020,nse_nifty500
TRIDENT,TRIDENT.NS,Trident Ltd.,Textiles,Textiles,EQ,INE064C01022,nse_nifty500
TRITURBINE,TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods,Capital Goods,EQ,INE152M01016,nse_nifty500
TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE974X01010,nse_nifty500
UCOBANK,UCOBANK.NS,UCO Bank,Financial Services,Financial Services,EQ,INE691A01018,nse_nifty500
UNOMINDA,UNOMINDA.NS,UNO Minda Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE405E01023,nse_nifty500
UPL,UPL.NS,UPL Ltd.,Chemicals,Chemicals,EQ,INE628A01036,nse_nifty500
UTIAMC,UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services,Financial Services,EQ,INE094J01016,nse_nifty500
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,Construction Materials,EQ,INE481G01011,nse_nifty500
UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,Financial Services,EQ,INE692A01016,nse_nifty500
UBL,UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE686F01025,nse_nifty500
UNITDSPR,UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE854D01024,nse_nifty500
URBANCO,URBANCO.NS,Urban Company Ltd.,Consumer Services,Consumer Services,EQ,INE0CAZ01013,nse_nifty500
USHAMART,USHAMART.NS,Usha Martin Ltd.,Capital Goods,Capital Goods,EQ,INE228A01035,nse_nifty500
VTL,VTL.NS,Vardhman Textiles Ltd.,Textiles,Textiles,EQ,INE825A01020,nse_nifty500
VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE200M01039,nse_nifty500
VEDL,VEDL.NS,Vedanta Ltd.,Metals & Mining,Metals & Mining,EQ,INE205A01025,nse_nifty500
VIJAYA,VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,Healthcare,EQ,INE043W01024,nse_nifty500
VMM,VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,Consumer Services,EQ,INE01EA01019,nse_nifty500
IDEA,IDEA.NS,Vodafone Idea Ltd.,Telecommunication,Telecommunication,EQ,INE669E01016,nse_nifty500
VOLTAS,VOLTAS.NS,Voltas Ltd.,Consumer Durables,Consumer Durables,EQ,INE226A01021,nse_nifty500
WAAREEENER,WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,Capital Goods,EQ,INE377N01017,nse_nifty500
WELCORP,WELCORP.NS,Welspun Corp Ltd.,Capital Goods,Capital Goods,EQ,INE191B01025,nse_nifty500
WELSPUNLIV,WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,Textiles,EQ,INE192B01031,nse_nifty500
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables,Consumer Durables,EQ,INE716A01013,nse_nifty500
WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,Information Technology,EQ,INE075A01022,nse_nifty500
WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,Healthcare,EQ,INE049B01025,nse_nifty500
YESBANK,YESBANK.NS,Yes Bank Ltd.,Financial Services,Financial Services,EQ,INE528G01035,nse_nifty500
ZFCVINDIA,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE342J01019,nse_nifty500
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,Media Entertainment & Publication,EQ,INE256A01028,nse_nifty500
ZENTEC,ZENTEC.NS,Zen Technologies Ltd.,Capital Goods,Capital Goods,EQ,INE251B01027,nse_nifty500
ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies Ltd.,Information Technology,Information Technology,EQ,INE520A01027,nse_nifty500
ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,Healthcare,EQ,INE010B01027,nse_nifty500
ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE768C01028,nse_nifty500
ECLERX,ECLERX.NS,eClerx Services Ltd.,Services,Services,EQ,INE738I01010,nse_nifty500
