symbol,symbol_ns,company_name,sector,industry,series,isin,source
HONASA,HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE0J5401028,nse_nifty500
HONAUT,HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods,Capital Goods,EQ,INE671A01010,nse_nifty500
HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Financial Services,EQ,INE031A01017,nse_nifty500
HYUNDAI,HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE0V6F01027,nse_nifty500
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Financial Services,EQ,INE090A01021,nse_nifty500
ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,Financial Services,EQ,INE765G01017,nse_nifty500
ICICIAMC,ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services,Financial Services,EQ,INE346A01027,nse_nifty500
ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,Financial Services,EQ,INE726G01019,nse_nifty500
IDBI,IDBI.NS,IDBI Bank Ltd.,Financial Services,Financial Services,EQ,INE008A01015,nse_nifty500
IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,Financial Services,EQ,INE092T01019,nse_nifty500
IFCI,IFCI.NS,IFCI Ltd.,Financial Services,Financial Services,EQ,INE039A01010,nse_nifty500
IIFL,IIFL.NS,IIFL Finance Ltd.,Financial Services,Financial Services,EQ,INE530B01024,nse_nifty500
IRB,IRB.NS,IRB Infrastructure Developers Ltd.,Construction,Construction,EQ,INE821I01022,nse_nifty500
IRCON,IRCON.NS,IRCON International Ltd.,Construction,Construction,EQ,INE962Y01021,nse_nifty500
ITCHOTELS,ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services,Consumer Services,EQ,INE379A01028,nse_nifty500
ITC,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE154A01025,nse_nifty500
ITI,ITI.NS,ITI Ltd.,Telecommunication,Telecommunication,EQ,INE248A01017,nse_nifty500
INDGN,INDGN.NS,Indegene Ltd.,Healthcare,Healthcare,EQ,INE065X01017,nse_nifty500
