feature,perm_importance_mean,perm_importance_std
rsi_9,0.03566666666666668,0.0016666666666666496
realized_vol_21d,0.015000000000000013,0.00033333333333335213
bb_width,0.013666666666666688,0.0003333333333333244
atr_pct,0.012000000000000038,0.0013333333333333253
52w_high_ratio,0.011666666666666686,0.004333333333333328
quote_volume,0.010666666666666685,0.00466666666666668
rsi_14,0.010666666666666685,0.0026666666666666783
roc_5,0.00833333333333336,0.0016666666666666496
vol_7d,0.0076666666666667105,0.0030000000000000027
crypto_4h_trend,0.0076666666666667105,0.0010000000000000009
close_vs_sma_50,0.006666666666666682,0.0006666666666666765
ma_7,0.0063333333333333575,0.0010000000000000009
ma_ratio_21,0.0063333333333333575,0.0016666666666666496
obv_trend,0.005333333333333357,0.0006666666666666488
crypto_asia_ret,0.0050000000000000044,0.0010000000000000009
momentum_60d,0.00466666666666668,0.003333333333333327
hist_vol_10,0.003666666666666679,0.0003333333333333244
return_30d,0.003666666666666679,0.004333333333333328
hl_ratio_5d_avg,0.003666666666666679,0.0003333333333333244
return_60d,0.003333333333333355,0.0
rsi_21,0.0030000000000000304,0.0003333333333333244
return_20d,0.0026666666666666783,0.0013333333333333253
ma_ratio_50,0.0026666666666666783,0.0026666666666666783
close_vs_sma_200,0.002333333333333354,0.0016666666666666496
close_vs_sma_9,0.002333333333333354,0.0016666666666666496
close_vs_sma_21,0.0020000000000000295,0.0013333333333333253
crypto_wick_ratio,0.0020000000000000018,0.0
stoch_d,0.0016666666666666774,0.0003333333333333244
ma_50,0.001333333333333353,0.0
price_acceleration,0.001333333333333353,0.0
ma_14,0.0010000000000000286,0.0003333333333333244
rsi_7,0.0010000000000000286,0.0003333333333333244
return_5d,0.0010000000000000286,0.0003333333333333244
mfi,0.0006666666666666765,0.0026666666666666783
return_10d,0.0006666666666666765,0.0006666666666666765
ma_21,0.00033333333333335213,0.002333333333333354
bb_upper,0.00033333333333335213,0.00033333333333335213
bb_position,0.00033333333333335213,0.0016666666666666496
pct_from_high,0.00033333333333335213,0.0016666666666666496
returns_1d,0.00033333333333335213,0.0010000000000000009
williams_r,0.0,0.0
return_14d,0.0,0.0
roc_20,0.0,0.0
body_ratio,0.0,0.0
crypto_4h_momentum,0.0,0.0
direction,0.0,0.0
crypto_session_bias,0.0,0.0
crypto_ny_ret,0.0,0.0
crypto_london_ret,0.0,0.0
crypto_4h_consec_green,0.0,0.0
crypto_overnight_gap,0.0,0.0
crypto_4h_vol_surge,0.0,0.0
crypto_4h_consec_red,0.0,0.0
low_14d,-0.0003333333333333244,0.0003333333333333244
high_14d,-0.0006666666666666488,0.0
ma_ratio_14,-0.0006666666666666488,0.0006666666666666488
momentum_20d,-0.0006666666666666488,0.0006666666666666488
vol_vs_7d_avg,-0.0006666666666666488,0.0006666666666666488
hl_ratio,-0.0006666666666666488,0.0006666666666666488
ma_ratio_200,-0.0006666666666666488,0.001333333333333353
bb_lower,-0.0013333333333333253,0.0013333333333333253
roc_10,-0.0013333333333333253,0.0006666666666666765
ma_ratio_7,-0.001999999999999974,0.0006666666666666765
stoch_k,-0.001999999999999974,0.0006666666666666765
pct_from_low,-0.0026666666666666505,0.0026666666666666505
52w_low_ratio,-0.0033333333333332993,0.0020000000000000018
return_3d,-0.003999999999999976,0.0013333333333333253
vol_14d,-0.0040000000000000036,0.0020000000000000018
vol_30d,-0.005333333333333301,0.0020000000000000018
vol_ma_7,-0.005333333333333301,0.0
vol_vs_30d_avg,-0.005333333333333329,0.0006666666666666765
ma_200,-0.005999999999999978,0.003333333333333327
return_1d,-0.00799999999999998,0.003999999999999976
hist_vol_30,-0.009666666666666629,0.0003333333333333244
return_7d,-0.010999999999999954,0.0030000000000000027
