iter	MultiClass
165	1.002458121
166	1.002355632
167	1.002287148
168	1.002223093
169	1.002140554
170	1.002070676
171	1.002015108
172	1.001942241
173	1.00188243
174	1.001812243
175	1.001751244
176	1.001693858
177	1.001631999
178	1.001563537
179	1.001514576
180	1.001444994
181	1.0013861
182	1.00130583
183	1.001248244
184	1.001199565
185	1.001148367
186	1.00108541
187	1.00101545
188	1.000934529
189	1.000894592
190	1.000805617
191	1.000738422
192	1.000657464
193	1.000585217
194	1.000519717
195	1.000470109
196	1.000402403
197	1.000334422
198	1.000277896
199	1.00021806
200	1.000168642
201	1.000101908
202	1.000046446
203	0.9999659954
204	0.9999322645
205	0.9998838797
206	0.9998123037
207	0.9997725089
208	0.9996988732
209	0.9996282769
210	0.9995629004
211	0.9995130425
212	0.9994621972
213	0.9993940732
214	0.9993382496
215	0.9992772492
216	0.9992288355
217	0.9991856983
218	0.9991371595
219	0.999103474
220	0.9990472014
221	0.9989862387
222	0.9989302396
223	0.9988856793
224	0.9988212217
225	0.998789442
226	0.9987311167
227	0.9986817301
228	0.9986292669
229	0.9985710473
230	0.9985248752
231	0.9984812543
232	0.9984377472
233	0.9983999274
234	0.9983680884
235	0.9983131263
236	0.9982703308
237	0.9982290233
238	0.9981683225
239	0.9981116725
240	0.9980588828
241	0.9980122612
242	0.9979720928
243	0.9979192421
244	0.9978811203
245	0.9978468585
246	0.9978077562
247	0.9977781242
248	0.9977273153
249	0.9976944297
250	0.9976503145
251	0.9976110244
252	0.9975475471
253	0.9974975931
254	0.9974608127
255	0.9974164022
256	0.9973606986
257	0.9973230808
258	0.9972766154
259	0.9972336099
260	0.997186009
261	0.9971419235
262	0.9971056774
263	0.9970723443
264	0.9970316655
265	0.9969844792
266	0.9969436723
267	0.9969115061
268	0.9968669767
269	0.9968309983
270	0.9967864789
271	0.9967612291
272	0.9967247924
273	0.9966850861
274	0.996641442
275	0.9965958441
276	0.9965543225
277	0.9965157397
278	0.9964857219
279	0.9964549884
280	0.9964190689
281	0.9963961565
282	0.9963420361
283	0.9962903488
284	0.9962668694
285	0.9962351653
286	0.9961986289
287	0.9961601679
288	0.9961248091
289	0.9960872491
290	0.9960509716
291	0.9960238741
292	0.9959916424
293	0.995963433
294	0.9959261637
295	0.9958889595
296	0.9958564847
297	0.9958161305
298	0.995777169
299	0.995731364
300	0.9956907184
301	0.9956576245
302	0.9956260256
303	0.9955765072
304	0.9955307905
305	0.9954766739
306	0.9954532064
307	0.9954168116
308	0.9953736998
309	0.9953481445
310	0.9953169804
311	0.9952775714
312	0.9952359779
313	0.9952021766
314	0.9951707312
315	0.9951394723
316	0.9951102502
317	0.9950836466
318	0.9950389559
319	0.9950065199
320	0.9949731678
321	0.9949317473
322	0.9948878407
323	0.9948345603
324	0.9948062776
325	0.9947627548
326	0.9947185195
327	0.9946859102
328	0.9946551319
329	0.9946113524
330	0.9945764247
331	0.9945399576
332	0.9945050397
333	0.9944776699
334	0.9944412644
335	0.9943978334
336	0.9943738541
337	0.9943457156
338	0.9943170854
339	0.9942826224
340	0.994249593
341	0.9942062004
342	0.9941719983
343	0.9941410289
344	0.9941228323
345	0.9940804951
346	0.9940453225
347	0.9940219245
348	0.9939618726
349	0.9939255645
350	0.9938890908
351	0.9938603069
352	0.9938333161
353	0.9938068332
354	0.9937796956
355	0.9937323756
356	0.9937042368
357	0.9936718764
358	0.9936477489
359	0.9936134439
360	0.9935632626
361	0.9935150096
362	0.993480724
363	0.9934444504
364	0.9934136207
365	0.9933865896
366	0.99334709
367	0.9933120627
368	0.9932824546
369	0.9932505746
370	0.9932061453
371	0.9931754388
372	0.9931391152
373	0.9931075812
374	0.9930736576
375	0.993046911
376	0.9930112051
377	0.9929744579
378	0.9929482383
379	0.9929142654
380	0.9928923526
381	0.9928630261
382	0.9928332176
383	0.9928024895
384	0.9927791636
385	0.9927479305
386	0.9927174821
387	0.992694675
388	0.9926603662
389	0.99263226
390	0.9925979136
391	0.9925558125
392	0.992528574
393	0.9925034919
394	0.9924838896
395	0.9924631205
396	0.9924330279
397	0.9924152617
398	0.9923796091
399	0.9923470991
400	0.9923226344
401	0.9922933204
402	0.9922617106
403	0.9922318624
404	0.9921980099
405	0.9921678221
406	0.9921327924
407	0.9920986632
408	0.9920723337
409	0.9920473921
410	0.9920079828
411	0.9919775978
412	0.9919472254
413	0.9919264394
414	0.9918969191
415	0.9918685223
416	0.9918352823
417	0.9918058678
418	0.9917804713
419	0.991760133
420	0.9917251179
421	0.991688267
422	0.99166496
423	0.9916304252
424	0.9916065256
425	0.9915768319
426	0.9915533868
427	0.9915175979
428	0.9914917177
429	0.9914623818
430	0.991431667
431	0.9913896673
432	0.9913569194
433	0.9913139975
434	0.9912785446
435	0.9912490608
436	0.9912281445
437	0.9912033031
438	0.9911705689
439	0.9911455692
440	0.9911210562
441	0.9910799667
442	0.9910425409
443	0.991011299
444	0.9909706104
445	0.9909414469
446	0.9909132791
447	0.9908766204
448	0.9908453955
449	0.9908069811
450	0.9907852791
451	0.9907503417
452	0.9907272164
453	0.9906820686
454	0.9906421764
455	0.990606793
456	0.9905669628
457	0.9905283007
458	0.9904982657
459	0.9904755532
460	0.9904533776
461	0.9904228036
462	0.9903905366
463	0.9903584361
464	0.9903252385
465	0.9903065336
466	0.9902707084
467	0.9902463487
468	0.9902193201
469	0.9901853542
470	0.9901608905
471	0.990112315
472	0.9900826789
473	0.9900483298
474	0.990015036
475	0.9899807956
476	0.9899498782
477	0.9899177793
478	0.9898855414
479	0.9898531179
480	0.9898126369
481	0.9897797563
482	0.9897471365
483	0.98973154
484	0.9897140642
485	0.9896776645
486	0.9896552334
487	0.9896309915
488	0.9896117526
489	0.989581987
490	0.989562754
491	0.98953084
492	0.9895070495
493	0.9894821734
494	0.9894465701
495	0.9894187437
496	0.9893815679
497	0.9893533137
498	0.9893282876
499	0.9893043968
500	0.9892785419
501	0.9892545635
502	0.9892235701
503	0.989191705
504	0.9891618235
505	0.9891230605
506	0.989083591
507	0.9890412657
508	0.9890185574
509	0.988984572
510	0.9889372557
511	0.9889049923
512	0.988872777
513	0.9888352569
514	0.9887969293
515	0.9887727397
516	0.9887407245
517	0.9887155057
518	0.9886860333
519	0.9886617313
520	0.9886291077
521	0.9885975919
522	0.9885728263
523	0.9885352002
524	0.9884678052
525	0.988441284
526	0.9884100267
527	0.9883870105
528	0.9883578708
529	0.9883180865
530	0.9882855258
531	0.9882582985
532	0.9882183921
533	0.9881930888
534	0.9881703968
535	0.9881379133
536	0.9881211236
537	0.9880970361
538	0.988062351
539	0.9880357726
540	0.9880021921
541	0.9879766943
542	0.9879512748
543	0.9879217596
544	0.9878951166
545	0.9878737688
546	0.987841453
547	0.9878190972
548	0.9878031606
549	0.9877666831
550	0.9877263704
551	0.9876764878
552	0.9876311526
553	0.9875903441
554	0.9875660507
555	0.987521545
556	0.9875012239
557	0.9874798666
558	0.9874327867
559	0.9874103768
560	0.9873820478
561	0.9873449434
562	0.9873080907
563	0.9872843173
564	0.9872647171
565	0.987237446
566	0.9872143215
567	0.9871860276
568	0.9871598871
569	0.9871285442
570	0.9870915213
571	0.9870540581
572	0.9870351254
573	0.9870006007
574	0.9869732402
575	0.9869500751
576	0.9869315859
577	0.9869091843
578	0.9868827634
579	0.9868578933
580	0.986816996
581	0.9867839553
582	0.9867564712
583	0.9867229275
584	0.9866906136
585	0.9866696892
586	0.9866316928
587	0.9866096129
588	0.9865712808
589	0.9865509659
590	0.9865231457
591	0.9864985738
592	0.9864649263
593	0.9864285525
594	0.9864109874
595	0.9863779602
596	0.986356159
597	0.9863313565
598	0.9863044873
599	0.9862636284
600	0.9862353899
601	0.9862046282
602	0.9861772623
603	0.9861504477
604	0.9861231616
605	0.986089391
606	0.986073134
607	0.9860479031
608	0.9860254633
609	0.9859782086
610	0.9859585554
611	0.9859313005
612	0.9859037945
613	0.9858769543
614	0.9858539955
615	0.9858148197
616	0.9857876824
617	0.9857615662
618	0.98574166
619	0.9857111422
620	0.9856893308
621	0.9856548505
622	0.9856316269
623	0.9855904603
624	0.9855555354
625	0.9855299133
626	0.9855073005
627	0.9854875727
628	0.9854662301
629	0.9854434717
630	0.9854240466
631	0.9853888178
632	0.9853688535
633	0.9853441982
634	0.9853123899
635	0.9852808676
636	0.9852639533
637	0.9852444422
638	0.9852116433
639	0.985180217
640	0.9851534807
641	0.9851237639
642	0.9851043811
643	0.9850803947
644	0.9850552737
645	0.9850216067
646	0.9849940175
647	0.984977121
648	0.9849585327
649	0.9849365982
650	0.9849161349
651	0.9848964306
652	0.9848713518
653	0.9848320375
654	0.9847935192
655	0.984758131
656	0.9847268557
657	0.9847027554
658	0.9846709936
659	0.984648572
660	0.9846168322
661	0.9845962825
662	0.9845549729
663	0.9845278571
664	0.9844973741
665	0.9844731913
666	0.9844448535
667	0.9844214998
668	0.9843974823
669	0.9843646219
670	0.9843441693
671	0.9843178746
672	0.9842886794
673	0.9842605615
674	0.984241096
675	0.9842080035
676	0.984190548
677	0.9841648579
678	0.9841317216
679	0.9840975713
680	0.9840748137
681	0.9840496179
682	0.9840193179
683	0.9839871933
684	0.983962033
685	0.9839179199
686	0.9838976414
687	0.9838608751
688	0.9838444083
689	0.9838074093
690	0.9837908861
691	0.9837636096
692	0.9837434816
693	0.9837173137
694	0.9836849652
695	0.9836593503
696	0.9836266888
697	0.9835906455
698	0.9835526913
699	0.9835113366
